Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
8001585001040,Balconi Mix Max Cocoa Cakes 10 pack | 350g,coles,22076,5088122,NSW,725,770,207,220,350g,https://www.coles.com.au/product/balconi-mix-max-cocoa-cakes-10-pack-350g-5088122,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5088122.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,SA,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,TAS,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,ACT,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,NT,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9339011000992,Coles Microwave Chestnuts | 200g,coles,22364,3574356,NSW,,390,,1950,200g,https://www.coles.com.au/product/coles-microwave-chestnuts-200g-3574356,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3574356.jpg&w=640&q=90
9339011000992,Coles Microwave Chestnuts | 200g,coles,22364,3574356,VIC,390,390,1950,1950,200g,https://www.coles.com.au/product/coles-microwave-chestnuts-200g-3574356,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3574356.jpg&w=640&q=90
9339011000992,Coles Microwave Chestnuts | 200g,coles,22364,3574356,QLD,390,390,1950,1950,200g,https://www.coles.com.au/product/coles-microwave-chestnuts-200g-3574356,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3574356.jpg&w=640&q=90
9339011000992,Coles Microwave Chestnuts | 200g,coles,22364,3574356,ACT,390,390,1950,1950,200g,https://www.coles.com.au/product/coles-microwave-chestnuts-200g-3574356,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3574356.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,NSW,,280,,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,VIC,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,QLD,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,WA,175,175,250,250,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,SA,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,TAS,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,ACT,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,NT,280,280,400,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,NSW,420,590,420,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,VIC,590,590,590,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,QLD,590,590,590,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,WA,450,450,450,450,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,SA,450,450,450,450,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,TAS,450,450,450,450,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,ACT,420,590,420,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
