barcode,name,shop,category_id,source_id,state,old_price,new_price,weight,source_url,,,image_url
9.30064E+12,Devondale 100% Pure Full Cream Long Life Milk UHT 1L,Woolworths,22136,33557,NSW,220,200,1L,https://www.woolworths.com.au/shop/productdetails/33557/devondale-100-pure-full-cream-long-life-milk-uht,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
7.39438E+12,Oatly! Oat Chocolate Long Life Milk UHT 1L,Woolworths,22136,847038,NSW,300,500,1L,https://www.woolworths.com.au/shop/productdetails/847038/oatly-oat-chocolate-long-life-milk-uht,,,https://cdn0.woolworths.media/content/wowproductimages/large/048016.jpg
9.34165E+12,Vitasoy Oat Milky Long Life Milk UHT 1L,Woolworths,22136,148781,NSW,300,150,1L,https://www.woolworths.com.au/shop/productdetails/148781/vitasoy-oat-milky-long-life-milk-uht,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
9.34847E+12,Inside Out Unsweetened Oat Milk 1L,Woolworths,22139,206055,NSW,390,300,1L,https://www.woolworths.com.au/shop/productdetails/206055/inside-out-unsweetened-oat-milk,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
9.34847E+12,J*st Milk Almond 1L,Woolworths,22139,266670,NSW,300,240,1L,https://www.woolworths.com.au/shop/productdetails/266670/jst-almond,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
9.34847E+12,J*st Milk Oat 1L,Woolworths,22139,269103,NSW,300,240,1L,https://www.woolworths.com.au/shop/productdetails/269103/j-st-milk-oat,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
7.81006E+11,Classic Cauliflower Cheese Bake Family Meal 800g,Woolworths,22144,524913,NSW,1200,1200,800g,https://www.woolworths.com.au/shop/productdetails/524913/classic-cauliflower-cheese-bake-family-meal,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/194648.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/807018.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/212722.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/033557.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/847038.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/148781.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/206055.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/266670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/269103.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/524913.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/524913.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/524913.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/524913.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/088511.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/159266.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/583617.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/583617.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/583617.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/583617.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828744.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/828746.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/674323.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921142.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921142.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921142.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921142.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921142.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921080.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921080.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921080.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921080.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/921080.jpg
