barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,QLD,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,WA,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,SA,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,ACT,,300,,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,TAS,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,NT,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,NSW,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,QLD,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,WA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,SA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,ACT,,250,,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,TAS,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9416050105083,Coles BBQ Crunch | approx. 100g,coles,22781,1960701,NT,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-bbq-crunch-approx.-100g-1960701,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1960701.jpg&w=640&q=90
9310645099378,Coles Kitchen Potato Salad | 800g,coles,22375,1988904,VIC,700,700,88,88,800g,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1988904.jpg&w=640&q=90
9310645099378,Coles Kitchen Potato Salad | 800g,coles,22375,1988904,NSW,700,700,88,88,800g,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1988904.jpg&w=640&q=90
9310645099378,Coles Kitchen Potato Salad | 800g,coles,22375,1988904,QLD,600,600,75,75,800g,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1988904.jpg&w=640&q=90
9310645099378,Coles Kitchen Potato Salad | 800g,coles,22375,1988904,WA,700,700,88,88,800g,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1988904.jpg&w=640&q=90
9310645099378,Coles Kitchen Potato Salad | 800g,coles,22375,1988904,SA,600,600,75,75,800g,https://www.coles.com.au/product/coles-kitchen-potato-salad-800g-1988904,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1988904.jpg&w=640&q=90
