barcode,,name,shop,category_id,source_id,weight,source_url,image_url
9.33E+12,,Sukin Hydrating Shampoo | 1L,coles,23904,3154940,1l,https://www.coles.com.au/product/sukin-hydrating-shampoo-1l-3154940,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3154940.jpg&w=640&q=90
9.33E+12,"Save $17.50
Price $17.50
$17.50
$35.00
$1.75 / 100ML",Sukin Hydrating Shampoo 1l,Woolworths,23904,199779,1L,https://www.woolworths.com.au/shop/productdetails/199779/sukin-hydrating-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/199779.jpg
9.33E+12,"$20.00
$4.00 per 100ml",Sukin Hydrating Shampoo | 500mL,coles,23904,2994119,500ml,https://www.coles.com.au/product/sukin-hydrating-shampoo-500ml-2994119,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2994119.jpg&w=640&q=90
9.33E+12,"$10.00
$2.00 / 100ML",Sukin Hydrating Shampoo 500ml,Woolworths,23904,104336,500mL,https://www.woolworths.com.au/shop/productdetails/104336/sukin-hydrating-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/104336.jpg
9.33E+12,,Sukin Natural Balance Conditioner | 1L,coles,23904,3154973,1l,https://www.coles.com.au/product/sukin-natural-balance-conditioner-1l-3154973,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3154973.jpg&w=640&q=90
9.33E+12,"$17.50
$1.75 / 100ML",Sukin Natural Balance Conditioner 1l,Woolworths,23904,155914,1L,https://www.woolworths.com.au/shop/productdetails/155914/sukin-natural-balance-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/155914.jpg
9.33E+12,,Sukin Natural Balance Conditioner | 500mL,coles,23904,2994130,500ml,https://www.coles.com.au/product/sukin-natural-balance-conditioner-500ml-2994130,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2994130.jpg&w=640&q=90
9.33E+12,"$10.00
$2.00 / 100ML",Sukin Natural Balance Conditioner 500ml,Woolworths,23904,104339,500mL,https://www.woolworths.com.au/shop/productdetails/104339/sukin-natural-balance-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/104339.jpg
9.33E+12,,Sukin Natural Balance Shampoo | 1L,coles,23904,3154930,1l,https://www.coles.com.au/product/sukin-natural-balance-shampoo-1l-3154930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3154930.jpg&w=640&q=90
9.33E+12,"$17.50
$1.75 / 100ML",Sukin Natural Balance Shampoo 1l,Woolworths,23904,156382,1L,https://www.woolworths.com.au/shop/productdetails/156382/sukin-natural-balance-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/156382.jpg
9.33E+12,,Sukin Natural Balance Shampoo | 500mL,coles,23904,2994108,500ml,https://www.coles.com.au/product/sukin-natural-balance-shampoo-500ml-2994108,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2994108.jpg&w=640&q=90
9.33E+12,"$10.00
$2.00 / 100ML",Sukin Natural Balance Shampoo 500ml,Woolworths,23904,104338,500mL,https://www.woolworths.com.au/shop/productdetails/104338/sukin-natural-balance-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/104338.jpg
8.85E+12,,Sunsilk Conditioner Coconut Hydration | 350mL,coles,23904,9102531,350ml,https://www.coles.com.au/product/sunsilk-conditioner-coconut-hydration-350ml-9102531,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9102531.jpg&w=640&q=90
8.85E+12,"$6.50
$1.86 / 100ML",Sunsilk Coconut Hydration Conditioner 350mL,Woolworths,23904,6004410,350mL,https://www.woolworths.com.au/shop/productdetails/6004410/sunsilk-coconut-hydration-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/6004410.jpg
8.85E+12,,Sunsilk Conditioner Coconut Hydration | 700mL,coles,23904,9102575,700ml,https://www.coles.com.au/product/sunsilk-conditioner-coconut-hydration-700ml-9102575,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9102575.jpg&w=640&q=90
8.85E+12,"$12.00
$1.71 / 100ML",Sunsilk Coconut Hydration Conditioner 700mL,Woolworths,23904,6004145,700mL,https://www.woolworths.com.au/shop/productdetails/6004145/sunsilk-coconut-hydration-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/6004145.jpg
8.85E+12,,Sunsilk Shampoo Coconut Hydration | 700mL,coles,23904,9102564,700ml,https://www.coles.com.au/product/sunsilk-shampoo-coconut-hydration-700ml-9102564,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9102564.jpg&w=640&q=90
8.85E+12,"$12.00
$1.71 / 100ML",Sunsilk Coconut Hydration Shampoo 700mL,Woolworths,23904,6004126,700mL,https://www.woolworths.com.au/shop/productdetails/6004126/sunsilk-coconut-hydration-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/6004126.jpg
9.30E+12,,Sunsilk Addictive Brilliant Shine Conditioner | 350mL,coles,23904,7548959,350ml,https://www.coles.com.au/product/sunsilk-addictive-brilliant-shine-conditioner-350ml-7548959,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7548959.jpg&w=640&q=90
9.30E+12,"$6.50
$1.86 / 100ML",Sunsilk Conditioner Addictive Brilliant Shine 350ml,Woolworths,23904,490137,350mL,https://www.woolworths.com.au/shop/productdetails/490137/sunsilk-conditioner-addictive-brilliant-shine,https://cdn0.woolworths.media/content/wowproductimages/large/490137.jpg
9.30E+12,,Sunsilk Addictive Brilliant Shine Conditioner | 700mL,coles,23904,7549951,700ml,https://www.coles.com.au/product/sunsilk-addictive-brilliant-shine-conditioner-700ml-7549951,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7549951.jpg&w=640&q=90
9.30E+12,"$12.00
$1.71 / 100ML",Sunsilk Conditioner Addictive Brilliant Shine 700ml,Woolworths,23904,463191,700mL,https://www.woolworths.com.au/shop/productdetails/463191/sunsilk-conditioner-addictive-brilliant-shine,https://cdn0.woolworths.media/content/wowproductimages/large/463191.jpg
