Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,ACT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,NT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,VIC,280,280,280,280,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,NSW,270,270,270,270,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,QLD,250,250,250,250,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,WA,300,300,300,300,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,SA,,280,,280,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,TAS,,290,,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,ACT,270,270,270,270,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,NT,280,280,280,280,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,VIC,148,148,390,390,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,NSW,209,209,550,550,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,QLD,209,209,550,550,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,SA,,148,,390,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,TAS,,148,,390,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
